Rating,Game,Platform,First Playthrough,Emulator
5,Refunct,PC,,No
5,Ryse: Son of Rome,PC,5h18m,No
5,Saints Row IV,PC,15h,No
5,Serious Sam 2,PC,10h16m36s,No
5,Shadow Warrior (2013),PC,8h36m,No
5,Shrek Super Slam,GCN,28m5s,Yes
5,Spec Ops: The Line,PC,4h11m47s,No
5,Thief (2014),PC,5h55m43s,No
5,Two Worlds: Epic Edition,PC,7h48m,No
5,White Knight Chronicles,PS3,17h42m33s,No
5,Xeodrifter,PC,3h4m1s,No
4,Alien VS Predator,SNES,,Yes
4,Call of Duty: Black Ops (SP),PC,,No
4,Cat vs. Corgis,PC,2h21m30s,No
4,Croc: Legend of the Gobbos,PSX,,Yes
4,Insanity's Blade,PC,,No
4,M&M's Shell Shocked,PSX,3h1m7s,Yes
4,Zeno Clash,PC,2h54m,No
3,Dora the Explorer - The Search for Pirate Pig's Treasure,GBA,,Yes
3,Sakura Spirit,PC,1h58m,No
3,Shrek the Third,PSP,,Yes
2,Shrek 2,GCN,,Yes
2,Super Troll Islands,SNES,,Yes
